director_name,director_facebook_likes,actor_1_facebook_likes,genres,actor_1_name,movie_title,cast_total_facebook_likes,budget,title_year,movie_facebook_likes
Tom McCarthy,310,22000,Comedy,Peter Dinklage,The Station Agent,24419,500000,2003,0
Cecil B. DeMille,309,232,Drama,Gloria Grahame,The Greatest Show on Earth,825,4000000,1952,625
John Singleton,309,1000,Action,Josh Charles,Four Brothers,2740,45000000,2005,0
John Singleton,309,23000,Action,Paul Walker,2 Fast 2 Furious,25296,76000000,2003,0
John Singleton,309,327,Action,Ken Arnold,Abduction,561,35000000,2011,13000
John Singleton,309,27,Drama,John Cothran,Boyz n the Hood,106,6000000,1991,0
John Singleton,309,939,Drama,Mo'Nique,Baby Boy,3107,16000000,2001,1000
John Singleton,309,592,Drama,Janet Jackson,Poetic Justice,1620,14000000,1993,0
Catherine Hardwicke,308,13000,Biography,Heath Ledger,Lords of Dogtown,16651,25000000,2005,5000
Catherine Hardwicke,308,1000,Drama,Holly Hunter,Thirteen,2186,1500000,2003,0
Catherine Hardwicke,308,446,Drama,Keisha Castle-Hughes,The Nativity Story,966,30000000,2006,0
Catherine Hardwicke,308,17000,Drama,Kristen Stewart,Twilight,44060,37000000,2008,19000
Catherine Hardwicke,308,17000,Drama,Kristen Stewart,Twilight,44061,37000000,2008,19000
Lee Daniels,304,15000,Biography,Alex Pettyfer,Lee Daniels' The Butler,20035,30000000,2013,41000
Lee Daniels,304,940,Drama,Mo'Nique,Precious,3277,10000000,2009,12000
Lee Daniels,304,939,Drama,Mo'Nique,Precious,3276,10000000,2009,12000
Scott Derrickson,301,1000,Drama,Tom Wilkinson,The Exorcism of Emily Rose,2759,20000000,2005,0
Scott Derrickson,301,18000,Drama,Keanu Reeves,The Day the Earth Stood Still,22194,80000000,2008,0
Scott Derrickson,301,18000,Drama,Keanu Reeves,The Day the Earth Stood Still,22194,80000000,2008,0
Mira Nair,300,1000,Comedy,Anjelica Huston,The Perez Family,3072,11000000,1995,174
Mira Nair,300,729,Drama,Indira Varma,Kama Sutra: A Tale of Love,1292,3000000,1996,0
Mira Nair,300,805,Drama,Romola Garai,Vanity Fair,1618,23000000,2004,767
Alex Proyas,295,18000,Action,Gerard Butler,Gods of Egypt,19769,140000000,2016,24000
Alex Proyas,295,720,Action,Michael Wincott,The Crow,2630,23000000,1994,15000
Alex Proyas,295,10000,Action,Will Smith,I Robot,12068,120000000,2004,0
Alex Proyas,295,12000,Drama,Nicolas Cage,Knowing,13421,50000000,2009,0
Josi Luis Valenzuela,294,10000,Action,Gary Oldman,RoboCop,14161,100000000,2014,60000
Josi Luis Valenzuela,294,10000,Action,Gary Oldman,RoboCop,14160,100000000,2014,60000
Grant Heslov,293,18000,Comedy,Kevin Spacey,The Men Who Stare at Goats,32474,25000000,2009,15000
Morgan Spurlock,293,16000,Comedy,Quentin Tarantino,The Greatest Movie Ever Sold,32405,1500000,2011,0
Morgan Spurlock,293,0,Comedy,Chemeeka Walker,Super Size Me,0,65000,2004,0
Tom Shadyac,293,49000,Comedy,Robin Williams,Patch Adams,74382,50000000,1998,0
Tom Shadyac,293,759,Comedy,Sean Young,Ace Ventura: Pet Detective,2462,12000000,1994,0
Tom Shadyac,293,11000,Comedy,Morgan Freeman,Bruce Almighty,21276,81000000,2003,0
Tom Shadyac,293,87000,Comedy,Jimmy Bennett,Evan Almighty,108016,175000000,2007,2000
Tom Shadyac,293,509,Comedy,Maura Tierney,Liar Liar,2070,45000000,1997,0
Tom Shadyac,293,851,Comedy,Jada Pinkett Smith,The Nutty Professor,3155,54000000,1996,960
Tom Shadyac,293,780,Drama,Joe Morton,Dragonfly,2109,60000000,2002,0
Shane Carruth,291,291,Drama,Shane Carruth,Primer,368,7000,2004,19000
Joe Dante,287,844,Action,Bruce Dern,The Hole,4099,12000000,2009,0
Joe Dante,287,4000,Comedy,Kirsten Dunst,Small Soldiers,8610,40000000,1998,0
Joe Dante,287,767,Comedy,Phoebe Cates,Gremlins,2053,11000000,1984,14000
Joe Dante,287,16000,Comedy,Christopher Lee,Gremlins 2: The New Batch,19610,50000000,1990,0
John Frankenheimer,287,9000,Action,Charlize Theron,Reindeer Games,10838,34000000,2000,852
Adam McKay,285,12000,Comedy,Dwayne Johnson,The Other Guys,20233,100000000,2010,16000
Adam McKay,285,8000,Comedy,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,12410,73000000,2006,0
Adam McKay,285,33000,Comedy,Ryan Gosling,The Big Short,57308,28000000,2015,99000
Adam McKay,285,11000,Comedy,Harrison Ford,Anchorman 2: The Legend Continues,28176,50000000,2013,41000
Adam McKay,285,640000,Comedy,Darcy Donavan,Anchorman: The Legend of Ron Burgundy,656730,26000000,2004,0
Adam McKay,285,8000,Comedy,Will Ferrell,Step Brothers,11264,65000000,2008,0
David Yates,282,11000,Action,Christoph Waltz,The Legend of Tarzan,21175,180000000,2016,29000
David Yates,282,11000,Action,Christoph Waltz,The Legend of Tarzan,21175,180000000,2016,29000
Ossie Davis,282,586,Comedy,Redd Foxx,Cotton Comes to Harlem,1581,1200000,1970,477
Julie Taymor,278,4000,Biography,Salma Hayek,Frida,7072,12000000,2002,0
Julie Taymor,278,3000,Comedy,Djimon Hounsou,The Tempest,3785,20000000,2010,0
Julie Taymor,278,5000,Drama,Jim Sturgess,Across the Universe,5405,45000000,2007,14000
Nancy Meyers,278,22000,Comedy,Robert De Niro,The Intern,36010,35000000,2015,54000
Nancy Meyers,278,11000,Comedy,Meryl Streep,It's Complicated,15226,85000000,2009,0
Nancy Meyers,278,18000,Comedy,Keanu Reeves,Something's Gotta Give,22679,80000000,2003,0
Nancy Meyers,278,2000,Comedy,Judy Greer,What Women Want,5838,70000000,2000,0
Nancy Meyers,278,14000,Comedy,Kate Winslet,The Holiday,17423,85000000,2006,19000
Norman Jewison,278,18000,Biography,Denzel Washington,The Hurricane,20516,38000000,1999,0
Norman Jewison,278,3000,Comedy,Haley Joel Osment,Bogus,3864,30000000,1996,350
Norman Jewison,278,13000,Drama,Sylvester Stallone,F.I.S.T.,14735,11000000,1978,745
Norman Jewison,278,402,Drama,Topol,Fiddler on the Roof,934,9000000,1971,0
Neil Jordan,277,22000,Comedy,Robert De Niro,We're No Angels,24887,20000000,1989,855
Neil Jordan,277,11000,Drama,Brad Pitt,Interview with the Vampire: The Vampire Chronicles,25697,60000000,1994,11000
Neil Jordan,277,21000,Drama,Robert Downey Jr.,In Dreams,22006,30000000,1999,654
Pierre Coffin,275,7000,Animation,Steve Carell,Despicable Me,11608,69000000,2010,31000
Pierre Coffin,275,7000,Animation,Steve Carell,Despicable Me 2,11905,76000000,2013,56000
James L. Brooks,274,625,Comedy,Lupe Ontiveros,As Good as It Gets,1474,50000000,1997,11000
James L. Brooks,274,273,Comedy,Shelley Conn,How Do You Know,993,120000000,2010,0
James L. Brooks,274,11000,Comedy,Adam Sandler,Spanglish,12522,80000000,2004,0
Rupert Sanders,274,26000,Action,Chris Hemsworth,Snow White and the Huntsman,72881,170000000,2012,53000
Barry Levinson,272,155,Action,Nicholas Rowe,Young Sherlock Holmes,605,18000000,1985,0
Barry Levinson,272,49000,Comedy,Robin Williams,Good Morning Vietnam,50141,13000000,1987,0
Barry Levinson,272,736,Comedy,Anna Friel,An Everlasting Piece,1403,14000000,2000,132
Barry Levinson,272,1000,Comedy,Amy Poehler,Envy,1189,40000000,2004,713
Barry Levinson,272,13000,Comedy,Bruce Willis,Bandits,13934,80000000,2001,0
Barry Levinson,272,801,Comedy,Steve Guttenberg,Diner,2943,5000000,1982,0
Barry Levinson,272,22000,Comedy,Robert De Niro,Wag the Dog,29252,15000000,1997,12000
Barry Levinson,272,22000,Comedy,Robert De Niro,What Just Happened,71973,25000000,2008,845
Barry Levinson,272,49000,Comedy,Robin Williams,Man of the Year,52571,20000000,2006,0
Barry Levinson,272,22000,Drama,Robert De Niro,Sleepers,37076,44000000,1996,0
Barry Levinson,272,10000,Drama,Tom Cruise,Rain Man,12285,25000000,1988,12000
Barry Levinson,272,548,Drama,Peter Coyote,Sphere,1044,75000000,1998,0
Barry Levinson,272,2000,Drama,Demi Moore,Disclosure,3888,55000000,1994,0
Ted Kotcheff,270,13000,Action,Sylvester Stallone,First Blood,15192,14000000,1982,0
George Gallo,269,1000,Comedy,Daniel Roebuck,Double Take,2557,24000000,2001,204
George Gallo,269,489,Comedy,Eddie Griffin,DysFunktional Family,539,3000000,2003,26
Genndy Tartakovsky,266,12000,Animation,Steve Buscemi,Hotel Transylvania,37142,85000000,2012,28000
Genndy Tartakovsky,266,12000,Animation,Steve Buscemi,Hotel Transylvania 2,26839,80000000,2015,16000
Ben Falcone,265,989,Comedy,Gary Cole,Tammy,2654,20000000,2014,11000
Ben Falcone,265,22000,Comedy,Peter Dinklage,The Boss,23562,29000000,2016,0
John Cameron Mitchell,263,263,Comedy,John Cameron Mitchell,Hedwig and the Angry Inch,993,6000000,2001,0
John Cameron Mitchell,263,71,Comedy,Sook-Yin Lee,Shortbus,226,2000000,2006,0
John Cameron Mitchell,263,967,Drama,Dianne Wiest,Rabbit Hole,1582,5000000,2010,0
Noam Murro,263,6000,Action,Eva Green,300: Rise of an Empire,10583,110000000,2014,71000
Paul Schrader,261,783,Biography,Ed Begley Jr.,Auto Focus,2684,7000000,2002,357
Paul Schrader,261,722,Drama,Dana Delany,Light Sleeper,1201,5000000,1992,247
Paul Schrader,261,924,Drama,Nolan Gerard Funk,The Canyons,2862,250000,2013,0
Jim Sheridan,260,1000,Biography,50 Cent,Get Rich or Die Tryin',3969,40000000,2005,0
Jim Sheridan,260,6000,Drama,Naomi Watts,Dream House,8018,55000000,2011,0
Jim Sheridan,260,20000,Drama,Natalie Portman,Brothers,42473,26000000,2009,10000
Jim Sheridan,260,20000,Drama,Natalie Portman,Brothers,39473,26000000,2009,10000
Patty Jenkins,260,9000,Biography,Charlize Theron,Monster,11736,4500000,2003,0
Fred Durst,258,721,Comedy,Tasha Smith,The Longshots,2453,23000000,2008,376
Martin Campbell,258,867,Action,Nicholas Lea,Vertical Limit,3424,75000000,2000,0
Martin Campbell,258,16000,Action,Ryan Reynolds,Green Lantern,17657,200000000,2011,24000
Martin Campbell,258,2000,Action,Michael Emerson,The Legend of Zorro,2864,75000000,2005,951
Martin Campbell,258,11000,Action,Angelina Jolie Pitt,Beyond Borders,12947,35000000,2003,0
Martin Campbell,258,12000,Comedy,Anthony Hopkins,The Mask of Zorro,12396,65000000,1998,0
Dean DeBlois,255,18000,Animation,Gerard Butler,How to Train Your Dragon 2,23378,145000000,2014,46000
Dean DeBlois,255,1000,Animation,Tia Carrere,Lilo  Stitch,3112,80000000,2002,0
Dean DeBlois,255,18000,Animation,Gerard Butler,How to Train Your Dragon,20453,165000000,2010,33000
Louis Leterrier,255,14000,Action,Liam Neeson,Clash of the Titans,18003,125000000,2010,15000
Louis Leterrier,255,3000,Action,Ty Burrell,The Incredible Hulk,5811,150000000,2008,0
Henry Selick,253,3000,Animation,Brendan Fraser,Monkeybone,5580,75000000,2001,683
Henry Selick,253,309,Animation,Jennifer Saunders,Coraline,647,60000000,2009,10000
Matthew R. Anderson,252,1000,Action,Johnny Pacar,The Dead Undead,2510,1100000,2010,444
Rob Marshall,252,40000,Action,Johnny Depp,Pirates of the Caribbean: On Stranger Tides,54083,250000000,2011,58000
Rob Marshall,252,40000,Comedy,Johnny Depp,Into the Woods,62837,50000000,2014,90000
Rob Marshall,252,539,Comedy,Colm Feore,Chicago,813,45000000,2002,0
Rob Marshall,252,529,Drama,Fergie,Nine,619,80000000,2009,0
Rob Marshall,252,879,Drama,Li Gong,Memoirs of a Geisha,2380,85000000,2005,0
Chris Carter,251,826,Drama,Mitch Pileggi,The X Files: I Want to Believe,2351,30000000,2008,0
Ernie Barbarash,249,2000,Action,Michael Jai White,Falcon Rising,3089,4500000,2014,0
Wolfgang Petersen,249,11000,Action,Harrison Ford,Air Force One,23603,85000000,1997,0
Wolfgang Petersen,249,87000,Action,Jimmy Bennett,Poseidon,92456,160000000,2006,0
Wolfgang Petersen,249,784,Action,Karen Allen,The Perfect Storm,2684,140000000,2000,0
Wolfgang Petersen,249,18000,Action,Kevin Spacey,Outbreak,30383,50000000,1995,0
Wolfgang Petersen,249,11000,Action,Brad Pitt,Troy,17944,175000000,2004,0
Joe Carnahan,248,14000,Action,Liam Neeson,The Grey,16606,25000000,2011,32000
Joe Carnahan,248,673,Drama,Jason Patric,Narc,1442,7500000,2002,1000
Shane Dawson,247,247,Comedy,Shane Dawson,Not Cool,954,600000,2014,0
Jennifer Finnigan,246,756,Comedy,Geoff Stults,The Opposite Sex,3717,3300000,2014,0
Miranda July,244,538,Comedy,Najarra Townsend,Me and You and Everyone We Know,1349,2000000,2005,0
Brian Helgeland,241,13000,Action,Heath Ledger,A Knight's Tale,18761,65000000,2001,0
Brian Helgeland,241,1000,Action,Bill Duke,Payback,3148,50000000,1999,0
Brian Helgeland,241,13000,Action,Heath Ledger,The Order,14165,38000000,2003,704
Agnieszka Holland,238,60,Biography,Phyllida Law,Copying Beethoven,150,11000000,2006,0
Miguel Sapochnik,238,1000,Action,Alice Braga,Repo Men,2925,32000000,2010,12000
Len Wiseman,235,956,Action,Sophia Myles,Underworld: Evolution,2998,50000000,2006,0
Len Wiseman,235,13000,Action,Bruce Willis,Live Free or Die Hard,13961,110000000,2007,0
Peyton Reed,235,2000,Comedy,Judy Greer,Ant-Man,5730,130000000,2015,61000
Peyton Reed,235,4000,Comedy,Jon Favreau,The Break-Up,8315,52000000,2006,0
Peyton Reed,235,14000,Comedy,Bradley Cooper,Yes Man,29505,70000000,2008,0
Peyton Reed,235,4000,Comedy,Kirsten Dunst,Bring It On,5270,10000000,2000,0
David Gordon Green,234,11000,Comedy,James Franco,Pineapple Express,15590,27000000,2008,0
David Gordon Green,234,20000,Comedy,Natalie Portman,Your Highness,45202,49900000,2011,18000
David Gordon Green,234,1000,Comedy,Dominic Flores,Our Brand Is Crisis,3944,28000000,2015,0
David Gordon Green,234,552,Drama,Paul Schneider,George Washington,642,42000,2000,451
David Gordon Green,234,12000,Drama,Nicolas Cage,Joe,13607,4000000,2013,11000
David Gordon Green,234,11000,Drama,Zooey Deschanel,All the Real Girls,12385,2500000,2003,571
Steven Zaillian,234,3000,Drama,Robert Duvall,A Civil Action,4713,60000000,1998,1000
Julian Schnabel,232,10000,Biography,Gary Oldman,Basquiat,11459,3300000,1996,0
Alan Taylor,230,26000,Action,Chris Hemsworth,Thor: The Dark World,59803,170000000,2013,63000
Alan Taylor,230,24000,Action,J.K. Simmons,Terminator Genisys,38873,155000000,2015,82000
Dan O'Bannon,228,431,Comedy,Linnea Quigley,The Return of the Living Dead,2020,4000000,1985,0
Dan O'Bannon,228,431,Comedy,Linnea Quigley,The Return of the Living Dead,2020,4000000,1985,0
Jaime Zevallos,228,310,Comedy,Angela Sarafyan,Me You and Five Bucks,771,1500000,2015,132
Ernest R. Dickerson,226,1000,Action,CCH Pounder,Tales from the Crypt: Demon Knight,3931,13000000,1995,0
Jon Turteltaub,226,12000,Action,Nicolas Cage,The Sorcerer's Apprentice,13388,150000000,2010,11000
Jon Turteltaub,226,12000,Comedy,Nicolas Cage,National Treasure,13679,100000000,2004,0
Jon Turteltaub,226,953,Comedy,Doug E. Doug,Cool Runnings,2496,15000000,1993,0
Jon Turteltaub,226,13000,Comedy,Bruce Willis,The Kid,16452,60000000,2000,0
Jon Turteltaub,226,22000,Comedy,Robert De Niro,Last Vegas,35694,28000000,2013,27000
Jon Turteltaub,226,3000,Drama,Robert Duvall,Phenomenon,5975,32000000,1996,0
Jon Turteltaub,226,12000,Drama,Anthony Hopkins,Instinct,13406,55000000,1999,0
Dennis Dugan,221,11000,Comedy,Adam Sandler,You Don't Mess with the Zohan,13446,90000000,2008,0
Dennis Dugan,221,12000,Comedy,Steve Buscemi,Grown Ups,28497,80000000,2010,12000
Dennis Dugan,221,12000,Comedy,Steve Buscemi,Grown Ups 2,39269,80000000,2013,14000
Dennis Dugan,221,14000,Comedy,Al Pacino,Jack and Jill,27405,79000000,2011,0
Dennis Dugan,221,240,Comedy,Amanda Detmer,Saving Silverman,664,22000000,2001,739
Dennis Dugan,221,12000,Comedy,Steve Buscemi,Big Daddy,26760,34200000,1999,0
Dennis Dugan,221,11000,Comedy,Adam Sandler,Just Go with It,16325,80000000,2011,19000
Dennis Dugan,221,11000,Comedy,Jon Lovitz,The Benchwarmers,13125,33000000,2006,0
Dennis Dugan,221,11000,Comedy,Adam Sandler,Happy Gilmore,13162,12000000,1996,0
Abel Ferrara,220,812,Drama,Isabella Rossellini,The Funeral,3337,12500000,1996,344
Richard Kelly,219,902,Drama,Frank Langella,The Box,2466,16000000,2009,0
Richard Kelly,219,15000,Drama,Jake Gyllenhaal,Donnie Darko,17040,4500000,2001,33000
Doug Liman,218,10000,Action,Tom Cruise,Edge of Tomorrow,12652,178000000,2014,77000
Doug Liman,218,17000,Action,Kristen Stewart,Jumper,21863,85000000,2008,0
Doug Liman,218,13000,Action,Matt Damon,The Bourne Identity,13249,60000000,2002,0
Doug Liman,218,6000,Biography,Naomi Watts,Fair Game,10191,22000000,2010,9000
Doug Liman,218,11000,Comedy,Brad Pitt,Mr.  Mrs. Smith,22722,120000000,2005,0
Doug Liman,218,900,Comedy,Sarah Polley,Go,2475,6500000,1999,0
Doug Liman,218,4000,Comedy,Jon Favreau,Swingers,4230,200000,1996,0
Jean-Jacques Annaud,218,11000,Action,Brad Pitt,Seven Years in Tibet,12226,70000000,1997,0
Jean-Jacques Annaud,218,5000,Drama,Bob Hoskins,Enemy at the Gates,5103,68000000,2001,0
Joe Swanberg,217,10000,Comedy,Anna Kendrick,Happy Christmas,11642,70000,2014,812
Stuart Gordon,216,1000,Drama,Joe Mantegna,Edmond,5761,10000000,2005,661
John Hillcoat,214,14000,Action,Kate Winslet,Triple 9,27214,20000000,2016,0
John Hillcoat,214,10000,Action,Viggo Mortensen,The Road,23566,25000000,2009,32000
Nat Faxon,214,7000,Comedy,Steve Carell,The Way Way Back,8375,5000000,2013,22000
Adrian Lyne,213,225,Drama,Michael Nouri,Flashdance,791,4000000,1983,0
Adrian Lyne,213,567,Drama,David Margulies,9 Weeks,711,17000000,1986,0
Adrian Lyne,213,886,Drama,Fred Gwynne,Fatal Attraction,1639,14000000,1987,3000
Adrian Lyne,213,838,Drama,Olivier Martinez,Unfaithful,2583,50000000,2002,0
Jean-Marc Vallie,212,2000,Action,Michiel Huisman,Wild,4896,15000000,2014,38000
Jean-Marc Vallie,212,11000,Biography,Matthew McConaughey,Dallas Buyers Club,17738,5000000,2013,65000
John Moore,212,2000,Action,Dennis Quaid,Flight of the Phoenix,4397,45000000,2004,1000
John Moore,212,578,Action,Joaquim de Almeida,Behind Enemy Lines,2544,40000000,2001,0
John Moore,212,13000,Action,Bruce Willis,A Good Day to Die Hard,15481,92000000,2013,66000
Renny Harlin,212,576,Action,Roxanne McKee,The Legend of Hercules,1520,70000000,2014,12000
Renny Harlin,212,13000,Action,Sylvester Stallone,Cliffhanger,15229,70000000,1993,0
Renny Harlin,212,394,Action,Melina Kanakaredes,The Long Kiss Goodnight,1531,65000000,1996,4000
Renny Harlin,212,969,Action,Taylor Cole,12 Rounds,2799,22000000,2009,0
Renny Harlin,212,13000,Action,Sylvester Stallone,Driven,14780,72000000,2001,886
Renny Harlin,212,960,Action,Laura Ramsey,The Covenant,3261,20000000,2006,3000
Renny Harlin,212,1000,Action,LL Cool J,Deep Blue Sea,3697,60000000,1999,0
Renny Harlin,212,13000,Action,Bruce Willis,Die Hard 2,16595,70000000,1990,0
Renny Harlin,212,1000,Comedy,Christopher Masterson,Cutthroat Island,3611,98000000,1995,1000
Renny Harlin,212,879,Comedy,Lauren Holly,The Adventures of Ford Fairlane,2795,40000000,1990,2000
Renny Harlin,212,10000,Drama,Viggo Mortensen,Prison,11083,1300000,1987,314
Anton Corbijn,210,978,Drama,Violante Placido,The American,1454,20000000,2010,10000
Jon M. Chu,209,17000,Action,Channing Tatum,G.I. Joe: Retaliation,31958,130000000,2013,42000
Jon M. Chu,209,11000,Comedy,Daniel Radcliffe,Now You See Me 2,23031,90000000,2016,15000
Jon M. Chu,209,158,Drama,Cassie Ventura,Step Up 2: The Streets,816,23000000,2008,0
Jon M. Chu,209,2000,Drama,Alyson Stoner,Step Up 3D,4059,30000000,2010,16000
Tony Gilroy,209,10000,Action,Jeremy Renner,The Bourne Legacy,12175,125000000,2012,31000
Tony Gilroy,209,8000,Comedy,Julia Roberts,Duplicity,10623,60000000,2009,0
Tony Gilroy,209,1000,Drama,Tom Wilkinson,Michael Clayton,3284,25000000,2007,0
Stephen Sommers,208,12000,Action,Dwayne Johnson,The Mummy Returns,15972,98000000,2001,0
Stephen Sommers,208,3000,Action,Djimon Hounsou,Deep Rising,6558,45000000,1998,0
Stephen Sommers,208,23000,Action,Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra,26683,175000000,2009,0
Stephen Sommers,208,876,Comedy,Curtis Armstrong,The Adventures of Huck Finn,4840,6500000,1993,391
Florian Henckel von Donnersmarck,207,40000,Action,Johnny Depp,The Tourist,55175,100000000,2010,25000
Florian Henckel von Donnersmarck,207,40000,Action,Johnny Depp,The Tourist,55175,100000000,2010,25000
D.W. Griffith,204,436,Drama,Lillian Gish,Intolerance: Love's Struggle Throughout the Ages,481,385907,1916,691
Morgan J. Freeman,204,659,Drama,Edie Falco,Hurricane Streets,2322,500000,1997,51
Morgan J. Freeman,204,1000,Drama,Ethan Suplee,Desert Blue,3207,2000000,1998,69
Keith Gordon,200,21000,Comedy,Robert Downey Jr.,The Singing Detective,41645,8000000,2003,494
Russ Meyer,199,503,Comedy,Charles Napier,Beyond the Valley of the Dolls,731,900000,1970,0
Matt Reeves,198,10000,Action,Gary Oldman,Dawn of the Planet of the Apes,14363,170000000,2014,45000
Matt Reeves,198,2000,Action,Mike Vogel,Cloverfield,3958,25000000,2008,0
Matt Reeves,198,1000,Comedy,Mark Margolis,The Pallbearer,3502,8000000,1996,125
Kenny Ortega,197,755,Comedy,Lucas Grabeel,High School Musical,2553,4200000,2006,0
Kenny Ortega,197,755,Comedy,Lucas Grabeel,High School Musical 2,3009,7000000,2007,586
Kenny Ortega,197,755,Comedy,Lucas Grabeel,High School Musical 3: Senior Year,3507,11000000,2008,0
Kenny Ortega,197,580,Comedy,Vinessa Shaw,Hocus Pocus,1275,28000000,1993,16000
Tony Kaye,194,1000,Drama,Ethan Suplee,American History X,3858,7500000,1998,35000
Tony Kaye,194,970,Drama,Bill Cobbs,Black Water Transit,3874,23000000,2009,26
Alexandre Aja,192,3000,Comedy,Adam Scott,Piranha 3D,5737,24000000,2010,13000
David Koepp,192,23000,Action,Joseph Gordon-Levitt,Premium Rush,24669,35000000,2012,20000
David Koepp,192,346,Comedy,Aasif Mandvi,Ghost Town,500,20000000,2008,0
Tom Ford,192,14000,Drama,Colin Firth,A Single Man,14816,7000000,2009,16000
Adrienne Shelly,191,597,Comedy,Lew Temple,Waitress,1981,2000000,2007,0
NimrÕ_d Antal,190,2000,Action,Topher Grace,Predators,4243,40000000,2010,17000
NimrÕ_d Antal,190,137000,Action,Andrew Fiscella,Armored,137712,27000000,2009,0
Bob Fosse,189,683,Comedy,Sammy Davis Jr.,Sweet Charity,2172,20000000,1969,548
Lexi Alexander,189,3000,Action,Julie Benz,Punisher: War Zone,6563,35000000,2008,0
Shawn Levy,189,20000,Action,Hugh Jackman,Real Steel,22254,110000000,2011,36000
Shawn Levy,189,49000,Comedy,Robin Williams,Night at the Museum,55486,110000000,2006,3000
Shawn Levy,189,1000,Comedy,Roger Rees,The Pink Panther,1267,65000000,2006,0
Shawn Levy,189,934,Comedy,Frankie Muniz,Big Fat Liar,3707,15000000,2002,896
Shawn Levy,189,49000,Comedy,Robin Williams,Night at the Museum: Battle of the Smithsonian,54039,150000000,2009,2000
Shawn Levy,189,49000,Comedy,Robin Williams,Night at the Museum: Secret of the Tomb,53587,127000000,2014,11000
Shawn Levy,189,1000,Comedy,Josh Gad,The Internship,5081,58000000,2013,22000
Shawn Levy,189,15000,Comedy,Mila Kunis,Date Night,39822,55000000,2010,0
Shawn Levy,189,2000,Comedy,Tina Fey,This Is Where I Leave You,4662,19800000,2014,14000
Shawn Levy,189,3000,Comedy,Tom Welling,Cheaper by the Dozen,7014,40000000,2003,0
Shawn Levy,189,500,Comedy,Taran Killam,Just Married,2020,18000000,2003,0
Barry Sonnenfeld,188,10000,Comedy,Will Smith,Men in Black II,14823,140000000,2002,2000
Barry Sonnenfeld,188,10000,Comedy,Will Smith,Men in Black 3,12572,225000000,2012,40000
Barry Sonnenfeld,188,10000,Comedy,Will Smith,Wild Wild West,15870,170000000,1999,0
Barry Sonnenfeld,188,10000,Comedy,Will Smith,Men in Black,12998,90000000,1997,0
Barry Sonnenfeld,188,11000,Comedy,Zooey Deschanel,Big Trouble,13917,40000000,2002,892
Barry Sonnenfeld,188,848,Comedy,Delroy Lindo,Get Shorty,3439,30250000,1995,0
Barry Sonnenfeld,188,1000,Comedy,Anjelica Huston,The Addams Family,3696,38000000,1991,5000
Benh Zeitlin,188,2000,Drama,QuvenzhanÕ© Wallis,Beasts of the Southern Wild,2658,1800000,2012,31000
Charles Martin Smith,188,2000,Comedy,Kevin Zegers,Air Bud,4277,3000000,1997,902
Charles Martin Smith,188,11000,Drama,Morgan Freeman,Dolphin Tale,14209,37000000,2011,0
Charles Martin Smith,188,11000,Drama,Morgan Freeman,Dolphin Tale 2,13904,36000000,2014,0
Christopher McQuarrie,188,187,Action,Kristin Lehman,The Way of the Gun,358,8500000,2000,1000
Christopher McQuarrie,188,10000,Action,Tom Cruise,Jack Reacher,16385,60000000,2012,38000
Christopher McQuarrie,188,10000,Action,Tom Cruise,Jack Reacher,16385,60000000,2012,38000
Michael Winterbottom,187,11000,Biography,Angelina Jolie Pitt,A Mighty Heart,12178,16000000,2007,923
Michael Winterbottom,187,818,Drama,Liam Aiken,The Killer Inside Me,1813,13000000,2010,0
Larry Clark,184,3000,Drama,Rosario Dawson,Kids,3310,1500000,1995,0
Andrew Dominik,181,11000,Biography,Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford,22516,30000000,2007,0
Ruben Fleischer,181,33000,Action,Ryan Gosling,Gangster Squad,34738,60000000,2013,40000
Ruben Fleischer,181,15000,Comedy,Emma Stone,Zombieland,28011,23600000,2009,26000
Pierre Morel,180,1000,Action,Ray Winstone,The Gunman,1686,40000000,2015,0
Mike Newell,179,15000,Action,Jake Gyllenhaal,Prince of Persia: The Sands of Time,16149,200000000,2010,23000
Mike Newell,179,40000,Biography,Johnny Depp,Donnie Brasco,56014,35000000,1997,0
Mike Newell,179,11000,Comedy,Angelina Jolie Pitt,Pushing Tin,13093,38000000,1999,783
Mike Newell,179,8000,Drama,Julia Roberts,Mona Lisa Smile,12850,65000000,2003,0
Mike Newell,179,267,Drama,Marcela Mar,Love in the Time of Cholera,538,45000000,2007,0
Vic Armstrong,179,12000,Action,Nicolas Cage,Left Behind,15044,16000000,2014,31000
Vic Armstrong,179,12000,Action,Nicolas Cage,Left Behind,15044,16000000,2014,31000
Walter Salles,179,794,Drama,Dougray Scott,Dark Water,1467,30000000,2005,0
Howard Hughes,177,431,Drama,Jean Harlow,Hell's Angels,457,3950000,1930,279
Paul Feig,176,975,Comedy,Michael Rapaport,The Heat,4825,43000000,2013,24000
Paul Feig,176,783,Comedy,Ed Begley Jr.,Ghostbusters,2097,144000000,2016,62000
Paul Feig,176,783,Comedy,Ed Begley Jr.,Ghostbusters,2097,144000000,2016,62000
Paul Feig,176,931,Comedy,Tyler James Williams,Unaccompanied Minors,4431,26000000,2006,498
